"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Fedde, Erick","607200","2024","726",21.2,7.2,".293",".308",32.4,7.6,37.7,"77.502500545","93.941632164",21.6,45.5
"López, Pablo","641154","2024","772",25.6,5.3,".306",".301",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"Eflin, Zach","621107","2024","684",19.6,3.5,".297",".298",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Houck, Tanner","656557","2024","743",20.7,6.5,".276",".314",30.2,5.7,41.8,"78.489312385","94.430703969",22.5,46.8
"Rea, Colin","607067","2024","714",18.9,6,".327",".341",36.3,8.7,42,"80.213678192","94.594415173",19.3,46.8
"Severino, Luis","622663","2024","761",21.2,7.9,".308",".308",30.4,5.7,35.6,"75.272418577","93.515669191",22,50.6
"Singer, Brady","663903","2024","762",22.3,7.1,".316",".334",35.6,8,41.7,"77.275001577","94.43000817",25.1,44.7
"Gomber, Austin","596295","2024","696",16.7,5.5,".339",".349",37.7,9.6,41.2,"80.036265299","94.432492071",19.7,48.3
"Burnes, Corbin","669203","2024","784",23.1,6.1,".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Skenes, Paul","694973","2024","514",33.1,6.2,".247",".249",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Corbin, Patrick","571578","2024","764",18.2,7.1,".357",".359",37.3,8.3,46.7,"79.877843129","95.30570991",22.3,48.2
"Kirby, George","669923","2024","778",23,3,".287",".289",30.5,8.1,36.3,"78.774593274","93.753520357",23.9,53.4
"Jones, Jared","683003","2024","504",26.2,7.7,".314",".314",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Crochet, Garrett","676979","2024","595",35.1,5.5,".280",".265",34.5,9.2,38.8,"76.536271919","94.146127471",33,53.2
"López, Reynaldo","625643","2024","543",27.3,7.7,".271",".308",37.3,8.8,42.2,"79.439650977","94.317767471",27.5,49
"Lynn, Lance","458681","2024","511",21.3,8.6,".314",".343",37,10.5,39.3,"77.576082114","94.259379457",24.1,48.4
"Peterson, David","656849","2024","510",19.8,9,".299",".332",35.7,7.3,42.7,"78.331204972","94.426613853",25.5,47.8
"Ryan, Joe","657746","2024","538",27.3,4.3,".282",".268",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Bradley, Taj","671737","2024","578",26.6,8.1,".308",".316",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Marsh, Alec","679525","2024","548",22.4,7.1,".325",".344",38,9.6,40.9,"78.827178162","94.623945041",23.5,47.6
"Gil, Luis","661563","2024","637",26.8,12.1,".288",".306",33.7,9.5,37.4,"78.931048895","94.034939077",29,45.5
"Pivetta, Nick","601713","2024","595",28.9,6.1,".306",".297",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Cannon, Jonathan","686563","2024","522",17.4,7.7,".332",".325",38.3,7.3,36.3,"78.719188912","93.823911325",21.7,47.1
"Ortiz, Luis","682847","2024","556",19.2,7.6,".287",".322",34.9,8.8,37.7,"78.240775528","94.10121864",20.9,48.1
"Estes, Joey","683155","2024","543",16.9,5,".333",".331",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Abbott, Andrew","671096","2024","586",19.5,8.9,".323",".314",36.6,9.3,33.5,"78.18333039","93.177609095",22.5,47.6
"Stone, Gavin","694813","2024","580",20,6.4,".304",".310",32.5,6.4,36.2,"77.107440095","93.702925548",24.6,50.5
"Pérez, Martín","527048","2024","590",18.1,8.3,".351",".356",34.3,8.6,41.5,"76.89241338","94.749829061",20.9,46
"Sale, Chris","519242","2024","702",32.1,5.6,".260",".263",34.9,5.6,31.2,"75.016805094","93.046190662",31,49
"Martinez, Nick","607259","2024","570",20.4,3.2,".279",".279",34,5.1,30.5,"74.850496934","92.978959505",22.9,51.1
"Montas, Frankie","593423","2024","655",22.6,10.1,".325",".336",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Waldron, Matt","663362","2024","625",21.3,6.4,".323",".316",33.9,7,35,"77.177450505","93.585477592",20.7,45.3
"Assad, Javier","665871","2024","638",19.4,9.9,".330",".344",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
"Peralta, Freddy","642547","2024","725",27.6,9.4,".305",".308",35.3,8.7,36.9,"75.95026724","93.640809751",31,46.9
"King, Michael","650633","2024","726",27.7,8.7,".284",".295",35.2,6.2,30.3,"73.981359732","92.671656987",29.2,45.4
"Quantrill, Cal","615698","2024","656",16.8,10.5,".358",".355",37.1,7.3,41.2,"77.92321026","94.354738243",21.5,45.7
"Ragans, Cole","666142","2024","762",29.3,8.8,".277",".284",31.8,6.2,35.4,"77.675891223","93.553010853",31.8,48.9
"Brown, Hunter","686613","2024","712",25.1,8.4,".296",".284",28,4.5,30.3,"74.687517768","92.855098176",25.1,46.3
"Bello, Brayan","678394","2024","702",21.8,9.1,".319",".328",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Littell, Zack","641793","2024","656",21.5,4.7,".317",".323",36.2,9.6,39.2,"78.590295546","94.137344568",23.1,51.9
"Heaney, Andrew","571760","2024","693",22.9,5.9,".312",".329",37.4,8.3,40.1,"78.990582236","94.388347616",26.2,50.3
"Civale, Aaron","650644","2024","689",21.6,7.5,".327",".312",36.5,7.3,39.4,"79.152007238","94.002413711",21.9,45.2
"Fried, Max","608331","2024","714",23.2,8,".273",".299",30.4,5,34.6,"73.871292176","93.362715837",24.1,45.9
"Kikuchi, Yusei","579328","2024","736",28,6,".297",".303",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Miller, Bryce","682243","2024","704",24.3,6.4,".260",".302",32.8,9.7,41.2,"80.650222167","94.328141625",24.3,48.9
"Wacha, Michael","608379","2024","685",21.2,6.6,".300",".314",32.7,8.2,32.5,"75.614261583","93.109005646",23.3,48.5
"Castillo, Luis","622491","2024","719",24.3,6.5,".305",".310",37,8.5,41.9,"78.938131564","94.546516728",25.9,50.6
"Feltner, Ryan","663372","2024","692",19.9,7.5,".320",".322",33.1,6.5,36.8,"76.695048857","93.803345297",23.8,48.1
"Gibson, Kyle","502043","2024","722",20.9,9.4,".323",".342",34.3,9.2,39.1,"76.553750445","94.071640304",25.9,42.9
"Taillon, Jameson","592791","2024","675",18.5,4.9,".289",".311",32.2,7.2,38.8,"79.650003386","94.067909961",19.5,48.2
